,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,3908,St. Joseph's (Bkyln),Berry,0,84-55,"28,27","43,41",4-5,10-2,N/A,N/A,12/30/19,2 p.m.,N/A,"Dorough Field House; Atlanta, Ga.",Lose,2,False,124,False,19:44,,0,,3 ,"GOOD 3PTR by ETHEART,STEPHANE",SJCBK 0-3 (-3),,"GOOD 3PTR by ETHEART,STEPHANE",1,three pointer,good,st. joseph's (bkyln),"etheart,stephane",3,"['wehunt,dawson', 'johnson,micah', 'haynes,caleb', 'jones,drew', 'haslam,ethan']","['reali,frank', 'meiner,kavan', 'etheart,stephane', 'etheart,sebastien', 'sirakis,dimitri']",1184
1,3908,St. Joseph's (Bkyln),Berry,0,84-55,"28,27","43,41",4-5,10-2,N/A,N/A,12/30/19,2 p.m.,N/A,"Dorough Field House; Atlanta, Ga.",Lose,2,False,124,False,--,,0,,3 ,"ASSIST  by ETHEART,SEBASTIEN",,,"ASSIST  by ETHEART,SEBASTIEN",1,assist,,st. joseph's (bkyln),"etheart,sebastien",,"['wehunt,dawson', 'johnson,micah', 'haynes,caleb', 'jones,drew', 'haslam,ethan']","['reali,frank', 'meiner,kavan', 'etheart,stephane', 'etheart,sebastien', 'sirakis,dimitri']",
2,3908,St. Joseph's (Bkyln),Berry,0,84-55,"28,27","43,41",4-5,10-2,N/A,N/A,12/30/19,2 p.m.,N/A,"Dorough Field House; Atlanta, Ga.",Lose,2,False,124,False,19:23,"MISS 3PTR by JONES,DREW",0,,3 ,,,,"MISS 3PTR by JONES,DREW",1,three pointer,missed,berry,"jones,drew",,"['wehunt,dawson', 'johnson,micah', 'haynes,caleb', 'jones,drew', 'haslam,ethan']","['reali,frank', 'meiner,kavan', 'etheart,stephane', 'etheart,sebastien', 'sirakis,dimitri']",1163
3,3908,St. Joseph's (Bkyln),Berry,0,84-55,"28,27","43,41",4-5,10-2,N/A,N/A,12/30/19,2 p.m.,N/A,"Dorough Field House; Atlanta, Ga.",Lose,2,False,124,False,--,,0,,3 ,"REBOUND DEF by ETHEART,STEPHANE",,,"REBOUND DEF by ETHEART,STEPHANE",1,defensive rebound,,st. joseph's (bkyln),"etheart,stephane",,"['wehunt,dawson', 'johnson,micah', 'haynes,caleb', 'jones,drew', 'haslam,ethan']","['reali,frank', 'meiner,kavan', 'etheart,stephane', 'etheart,sebastien', 'sirakis,dimitri']",
4,3908,St. Joseph's (Bkyln),Berry,0,84-55,"28,27","43,41",4-5,10-2,N/A,N/A,12/30/19,2 p.m.,N/A,"Dorough Field House; Atlanta, Ga.",Lose,2,False,124,False,19:05,,0,,3 ,"MISS 3PTR by ETHEART,SEBASTIEN",,,"MISS 3PTR by ETHEART,SEBASTIEN",1,three pointer,missed,st. joseph's (bkyln),"etheart,sebastien",,"['wehunt,dawson', 'johnson,micah', 'haynes,caleb', 'jones,drew', 'haslam,ethan']","['reali,frank', 'meiner,kavan', 'etheart,stephane', 'etheart,sebastien', 'sirakis,dimitri']",1145
5,3908,St. Joseph's (Bkyln),Berry,0,84-55,"28,27","43,41",4-5,10-2,N/A,N/A,12/30/19,2 p.m.,N/A,"Dorough Field House; Atlanta, Ga.",Lose,2,False,124,False,--,"REBOUND DEF by JOHNSON,MICAH",0,,3 ,,,,"REBOUND DEF by JOHNSON,MICAH",1,defensive rebound,,berry,"johnson,micah",,"['wehunt,dawson', 'johnson,micah', 'haynes,caleb', 'jones,drew', 'haslam,ethan']","['reali,frank', 'meiner,kavan', 'etheart,stephane', 'etheart,sebastien', 'sirakis,dimitri']",
6,3908,St. Joseph's (Bkyln),Berry,0,84-55,"28,27","43,41",4-5,10-2,N/A,N/A,12/30/19,2 p.m.,N/A,"Dorough Field House; Atlanta, Ga.",Lose,2,False,124,False,18:56,"MISS 3PTR by WEHUNT,DAWSON",0,,3 ,,,,"MISS 3PTR by WEHUNT,DAWSON",1,three pointer,missed,berry,"wehunt,dawson",,"['wehunt,dawson', 'johnson,micah', 'haynes,caleb', 'jones,drew', 'haslam,ethan']","['reali,frank', 'meiner,kavan', 'etheart,stephane', 'etheart,sebastien', 'sirakis,dimitri']",1136
7,3908,St. Joseph's (Bkyln),Berry,0,84-55,"28,27","43,41",4-5,10-2,N/A,N/A,12/30/19,2 p.m.,N/A,"Dorough Field House; Atlanta, Ga.",Lose,2,False,124,False,--,"REBOUND OFF by HASLAM,ETHAN",0,,3 ,,,,"REBOUND OFF by HASLAM,ETHAN",1,offensive rebound,,berry,"haslam,ethan",,"['wehunt,dawson', 'johnson,micah', 'haynes,caleb', 'jones,drew', 'haslam,ethan']","['reali,frank', 'meiner,kavan', 'etheart,stephane', 'etheart,sebastien', 'sirakis,dimitri']",
8,3908,St. Joseph's (Bkyln),Berry,0,84-55,"28,27","43,41",4-5,10-2,N/A,N/A,12/30/19,2 p.m.,N/A,"Dorough Field House; Atlanta, Ga.",Lose,2,False,124,False,18:44,"MISS JUMPER by JOHNSON,MICAH",0,,3 ,,,,"MISS JUMPER by JOHNSON,MICAH",1,jumper,missed,berry,"johnson,micah",,"['wehunt,dawson', 'johnson,micah', 'haynes,caleb', 'jones,drew', 'haslam,ethan']","['reali,frank', 'meiner,kavan', 'etheart,stephane', 'etheart,sebastien', 'sirakis,dimitri']",1124
9,3908,St. Joseph's (Bkyln),Berry,0,84-55,"28,27","43,41",4-5,10-2,N/A,N/A,12/30/19,2 p.m.,N/A,"Dorough Field House; Atlanta, Ga.",Lose,2,False,124,False,--,,0,,3 ,"REBOUND DEF by ETHEART,STEPHANE",,,"REBOUND DEF by ETHEART,STEPHANE",1,defensive rebound,,st. joseph's (bkyln),"etheart,stephane",,"['wehunt,dawson', 'johnson,micah', 'haynes,caleb', 'jones,drew', 'haslam,ethan']","['reali,frank', 'meiner,kavan', 'etheart,stephane', 'etheart,sebastien', 'sirakis,dimitri']",
