Time Remaining,,Away Team Score,Play Team Indicator,Home Team Score,,Game Score,Team Indicator,Play,Period
19:46,"MISS LAYUP by BURNETT,DREW",,,,,,,"MISS LAYUP by BURNETT,DREW",1
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",1
19:38,"MISS LAYUP by TURNER,JAMES",,,,,,,"MISS LAYUP by TURNER,JAMES",1
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",1
19:36,"GOOD LAYUP by TURNER,JAMES(in the paint)",0,,2 (+2),,0-2 (-2),,"GOOD LAYUP by TURNER,JAMES(in the paint)",1
19:17,"GOOD JUMPER by CALDWELL,CAM(in the paint)",2,,2,,2-2 (0),,"GOOD JUMPER by CALDWELL,CAM(in the paint)",1
19:02,"TURNOVER  by OWENS,MATT",,,,,,,"TURNOVER  by OWENS,MATT",1
18:43,"MISS JUMPER by LEE,MATT",,,,,,,"MISS JUMPER by LEE,MATT",1
--,"REBOUND DEF by MEADS,TYSIN",,,,,,,"REBOUND DEF by MEADS,TYSIN",1
18:21,"TURNOVER  by OWENS,MATT",,,,,,,"TURNOVER  by OWENS,MATT",1
18:21,"STEAL  by SMITH,LUKE",,,,,,,"STEAL  by SMITH,LUKE",1
18:04,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
17:37,"MISS 3PTR by MEADS,TYSIN",,,,,,,"MISS 3PTR by MEADS,TYSIN",1
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",1
17:26,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",1
17:26,"GOOD FT by LEE,MATT",3 (+1),,2,,3-2 (+1),,"GOOD FT by LEE,MATT",1
17:26,"GOOD FT by LEE,MATT",4 (+2),,2,,4-2 (+2),,"GOOD FT by LEE,MATT",1
17:11,"GOOD LAYUP by OWENS,MATT(in the paint)",4,,4,,4-4 (0),,"GOOD LAYUP by OWENS,MATT(in the paint)",1
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",1
16:44,"GOOD LAYUP by CALDWELL,CAM(in the paint)",6 (+2),,4,,6-4 (+2),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
16:20,"GOOD LAYUP by OWENS,MATT(in the paint)",6,,6,,6-6 (0),,"GOOD LAYUP by OWENS,MATT(in the paint)",1
--,"ASSIST  by MEADS,TYSIN",,,,,,,"ASSIST  by MEADS,TYSIN",1
16:20,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",1
16:20,"GOOD FT by OWENS,MATT",6,,7 (+1),,6-7 (-1),,"GOOD FT by OWENS,MATT",1
16:05,"MISS 3PTR by CALDWELL,CAM",,,,,,,"MISS 3PTR by CALDWELL,CAM",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
15:49,"GOOD LAYUP by BURNETT,DREW(in the paint)",6,,9 (+3),,6-9 (-3),,"GOOD LAYUP by BURNETT,DREW(in the paint)",1
--,"ASSIST  by COLEMAN,DANIEL",,,,,,,"ASSIST  by COLEMAN,DANIEL",1
15:30,"GOOD JUMPER by BUESCHER,HUNTER(in the paint)",8,,9 (+1),,8-9 (-1),,"GOOD JUMPER by BUESCHER,HUNTER(in the paint)",1
15:08,"MISS LAYUP by OWENS,MATT",,,,,,,"MISS LAYUP by OWENS,MATT",1
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",1
14:50,"MISS JUMPER by MEADS,TYSIN",,,,,,,"MISS JUMPER by MEADS,TYSIN",1
--,"REBOUND OFF by MEADS,TYSIN",,,,,,,"REBOUND OFF by MEADS,TYSIN",1
14:43,"MISS JUMPER by COLEMAN,DANIEL",,,,,,,"MISS JUMPER by COLEMAN,DANIEL",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
14:32,"MISS JUMPER by SMITH,LUKE",,,,,,,"MISS JUMPER by SMITH,LUKE",1
--,"REBOUND DEF by MEADS,TYSIN",,,,,,,"REBOUND DEF by MEADS,TYSIN",1
14:18,"GOOD 3PTR by TURNER,JAMES",8,,12 (+4),,8-12 (-4),,"GOOD 3PTR by TURNER,JAMES",1
--,"ASSIST  by MEADS,TYSIN",,,,,,,"ASSIST  by MEADS,TYSIN",1
13:57,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1
13:57,"STEAL  by MEADS,TYSIN",,,,,,,"STEAL  by MEADS,TYSIN",1
13:37,"TURNOVER  by OWENS,MATT",,,,,,,"TURNOVER  by OWENS,MATT",1
13:37,"STEAL  by BUESCHER,HUNTER",,,,,,,"STEAL  by BUESCHER,HUNTER",1
13:36,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
13:36,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
13:36,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
13:36,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",1
13:36,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
13:36,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",1
13:36,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
13:36,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",1
13:36,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
13:36,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
13:36,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
13:36,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",1
13:36,"SUB OUT by MEADS,TYSIN",,,,,,,"SUB OUT by MEADS,TYSIN",1
13:36,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
13:36,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
13:36,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",1
13:25,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
13:08,"MISS LAYUP by MILLER,JOSHUA",,,,,,,"MISS LAYUP by MILLER,JOSHUA",1
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",1
13:02,"GOOD 3PTR by SULLIVAN,MICHAEL",8,,15 (+7),,8-15 (-7),,"GOOD 3PTR by SULLIVAN,MICHAEL",1
12:37,"GOOD LAYUP by LEE,MATT(in the paint)",10,,15 (+5),,10-15 (-5),,"GOOD LAYUP by LEE,MATT(in the paint)",1
12:37,"FOUL  by TULLOS,ZACHARY",,,,,,,"FOUL  by TULLOS,ZACHARY",1
12:37,"GOOD FT by LEE,MATT",11,,15 (+4),,11-15 (-4),,"GOOD FT by LEE,MATT",1
12:20,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",1
12:10,"GOOD JUMPER by BUESCHER,HUNTER(in the paint)",13,,15 (+2),,13-15 (-2),,"GOOD JUMPER by BUESCHER,HUNTER(in the paint)",1
--,"ASSIST  by BARRY,MICHAEL",,,,,,,"ASSIST  by BARRY,MICHAEL",1
11:48,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
11:48,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:46,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
11:46,"SUB IN by SMITH,LUKE",,,,,,,"SUB IN by SMITH,LUKE",1
11:46,"SUB IN by JOHNSON,DAVID",,,,,,,"SUB IN by JOHNSON,DAVID",1
11:46,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
11:46,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
11:46,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",1
11:32,"TURNOVER  by KNOX,JOEY",,,,,,,"TURNOVER  by KNOX,JOEY",1
11:32,"STEAL  by BLANZ,BUCK",,,,,,,"STEAL  by BLANZ,BUCK",1
11:05,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
10:57,"GOOD 3PTR by BLANZ,BUCK",13,,18 (+5),,13-18 (-5),,"GOOD 3PTR by BLANZ,BUCK",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
10:40,"GOOD JUMPER by KNOX,JOEY",15,,18 (+3),,15-18 (-3),,"GOOD JUMPER by KNOX,JOEY",1
10:14,"MISS JUMPER by MILLER,JOSHUA",,,,,,,"MISS JUMPER by MILLER,JOSHUA",1
10:14,"BLOCK  by CRUMLY,JONNY",,,,,,,"BLOCK  by CRUMLY,JONNY",1
--,"REBOUND DEF by CRUMLY,JONNY",,,,,,,"REBOUND DEF by CRUMLY,JONNY",1
10:07,"MISS JUMPER by JOHNSON,DAVID",,,,,,,"MISS JUMPER by JOHNSON,DAVID",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
09:59,"GOOD JUMPER by SULLIVAN,MICHAEL(fastbreak)(in the paint)",15,,20 (+5),,15-20 (-5),,"GOOD JUMPER by SULLIVAN,MICHAEL(fastbreak)(in the paint)",1
--,"ASSIST  by MILLER,JOSHUA",,,,,,,"ASSIST  by MILLER,JOSHUA",1
09:59,"FOUL  by CRUMLY,JONNY",,,,,,,"FOUL  by CRUMLY,JONNY",1
09:59,"MISS FT by SULLIVAN,MICHAEL",,,,,,,"MISS FT by SULLIVAN,MICHAEL",1
09:59,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
09:59,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",1
09:59,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",1
09:59,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
09:59,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
09:59,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",1
09:59,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
09:59,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
09:59,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",1
09:59,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
--,"REBOUND DEF by CRUMLY,JONNY",,,,,,,"REBOUND DEF by CRUMLY,JONNY",1
09:40,"GOOD LAYUP by CALDWELL,CAM(in the paint)",17,,20 (+3),,17-20 (-3),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
09:16,"MISS 3PTR by COLEMAN,DANIEL",,,,,,,"MISS 3PTR by COLEMAN,DANIEL",1
--,"REBOUND DEF by CRUMLY,JONNY",,,,,,,"REBOUND DEF by CRUMLY,JONNY",1
