,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway,1stPlayOfPoss
0,0,801,Centre College,RHODES,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,19:51,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",1,three pointer,missed,centre college,"geegan,mike",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1191.0,rhodes,1,0,0.0,1
1,1,801,Centre College,RHODES,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1,defensive rebound,,rhodes,"miller,drew",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",,rhodes,1,0,0.0,0
2,2,801,Centre College,RHODES,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,19:22,"GOOD JUMPER by LIVSEY,GEOFF",2.0,,0.0,,RHODES 2-0 (-2),,"GOOD JUMPER by LIVSEY,GEOFF",1,jumper,good,rhodes,"livsey,geoff",2.0,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1162.0,rhodes,1,0,0.0,0
3,3,801,Centre College,RHODES,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,19:00,,2.0,,0.0,"MISS LAYUP by GEEGAN,MIKE",,,"MISS LAYUP by GEEGAN,MIKE",1,layup,missed,centre college,"geegan,mike",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1140.0,rhodes,1,0,0.0,0
4,4,801,Centre College,RHODES,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,--,"REBOUND DEF by MILLER,DREW",2.0,,0.0,,,,"REBOUND DEF by MILLER,DREW",1,defensive rebound,,rhodes,"miller,drew",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",,rhodes,1,0,0.0,0
5,5,801,Centre College,RHODES,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,18:40,"TURNOVER  by WAGNER,MATT",2.0,,0.0,,,,"TURNOVER  by WAGNER,MATT",1,turnover,,rhodes,"wagner,matt",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1120.0,rhodes,1,0,0.0,0
6,6,801,Centre College,RHODES,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,18:25,,2.0,,0.0,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",1,turnover,,centre college,"gump,matt",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1105.0,centre college,2,0,0.0,1
7,7,801,Centre College,RHODES,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,18:23,"STEAL  by MILLER,DREW",2.0,,0.0,,,,"STEAL  by MILLER,DREW",1,steal,,rhodes,,,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1103.0,centre college,2,0,0.0,0
8,8,801,Centre College,RHODES,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,18:13,"MISS LAYUP by LIVSEY,GEOFF",2.0,,0.0,,,,"MISS LAYUP by LIVSEY,GEOFF",1,layup,missed,rhodes,"livsey,geoff",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1093.0,rhodes,3,0,0.0,1
9,9,801,Centre College,RHODES,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,--,,2.0,,0.0,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1,defensive rebound,,centre college,"gump,matt",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",,rhodes,3,0,0.0,0
