,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0753,North Central,Centre,0,50-66,"28,38","21,29",25-3,21-6,N/A,N/A,03/02/13,7 p.m.,N/A,"Naperville, Ill. (Gregory Arena)",Win,2,False,1850,False,19:49,,,,,"TURNOVER  by RARIDON,DEREK",,,"TURNOVER  by RARIDON,DEREK",1,turnover,,north central,"raridon,derek",,"['scinta,blake', 'taylor,chris', 'karsner,josh', 'wesley,tyler', 'ellis,bryon']","['gamble,landon', 'raridon,derek', 'tiknis,aaron', 'kmiec,vince', 'rourke,pat']",1189
1,0753,North Central,Centre,0,50-66,"28,38","21,29",25-3,21-6,N/A,N/A,03/02/13,7 p.m.,N/A,"Naperville, Ill. (Gregory Arena)",Win,2,False,1850,False,19:31,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",2 ,,0,,CENTRE_M 2-0 (+2),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",1,jumper,good,centre,"scinta,blake",2,"['scinta,blake', 'taylor,chris', 'karsner,josh', 'wesley,tyler', 'ellis,bryon']","['gamble,landon', 'raridon,derek', 'tiknis,aaron', 'kmiec,vince', 'rourke,pat']",1171
2,0753,North Central,Centre,0,50-66,"28,38","21,29",25-3,21-6,N/A,N/A,03/02/13,7 p.m.,N/A,"Naperville, Ill. (Gregory Arena)",Win,2,False,1850,False,19:09,,2 ,,0,"MISS LAYUP by ROURKE,PAT",,,"MISS LAYUP by ROURKE,PAT",1,layup,missed,north central,"rourke,pat",,"['scinta,blake', 'taylor,chris', 'karsner,josh', 'wesley,tyler', 'ellis,bryon']","['gamble,landon', 'raridon,derek', 'tiknis,aaron', 'kmiec,vince', 'rourke,pat']",1149
3,0753,North Central,Centre,0,50-66,"28,38","21,29",25-3,21-6,N/A,N/A,03/02/13,7 p.m.,N/A,"Naperville, Ill. (Gregory Arena)",Win,2,False,1850,False,--,,2 ,,0,"REBOUND OFF by ROURKE,PAT",,,"REBOUND OFF by ROURKE,PAT",1,offensive rebound,,north central,"rourke,pat",,"['scinta,blake', 'taylor,chris', 'karsner,josh', 'wesley,tyler', 'ellis,bryon']","['gamble,landon', 'raridon,derek', 'tiknis,aaron', 'kmiec,vince', 'rourke,pat']",
4,0753,North Central,Centre,0,50-66,"28,38","21,29",25-3,21-6,N/A,N/A,03/02/13,7 p.m.,N/A,"Naperville, Ill. (Gregory Arena)",Win,2,False,1850,False,19:05,,2 ,,0,"MISS JUMPER by GAMBLE,LANDON",,,"MISS JUMPER by GAMBLE,LANDON",1,jumper,missed,north central,"gamble,landon",,"['scinta,blake', 'taylor,chris', 'karsner,josh', 'wesley,tyler', 'ellis,bryon']","['gamble,landon', 'raridon,derek', 'tiknis,aaron', 'kmiec,vince', 'rourke,pat']",1145
5,0753,North Central,Centre,0,50-66,"28,38","21,29",25-3,21-6,N/A,N/A,03/02/13,7 p.m.,N/A,"Naperville, Ill. (Gregory Arena)",Win,2,False,1850,False,--,"REBOUND DEF by WESLEY,TYLER",2 ,,0,,,,"REBOUND DEF by WESLEY,TYLER",1,defensive rebound,,centre,"wesley,tyler",,"['scinta,blake', 'taylor,chris', 'karsner,josh', 'wesley,tyler', 'ellis,bryon']","['gamble,landon', 'raridon,derek', 'tiknis,aaron', 'kmiec,vince', 'rourke,pat']",
6,0753,North Central,Centre,0,50-66,"28,38","21,29",25-3,21-6,N/A,N/A,03/02/13,7 p.m.,N/A,"Naperville, Ill. (Gregory Arena)",Win,2,False,1850,False,18:58,"MISS JUMPER by TAYLOR,CHRIS",2 ,,0,,,,"MISS JUMPER by TAYLOR,CHRIS",1,jumper,missed,centre,"taylor,chris",,"['scinta,blake', 'taylor,chris', 'karsner,josh', 'wesley,tyler', 'ellis,bryon']","['gamble,landon', 'raridon,derek', 'tiknis,aaron', 'kmiec,vince', 'rourke,pat']",1138
7,0753,North Central,Centre,0,50-66,"28,38","21,29",25-3,21-6,N/A,N/A,03/02/13,7 p.m.,N/A,"Naperville, Ill. (Gregory Arena)",Win,2,False,1850,False,--,,2 ,,0,"REBOUND DEF by TIKNIS,AARON",,,"REBOUND DEF by TIKNIS,AARON",1,defensive rebound,,north central,"tiknis,aaron",,"['scinta,blake', 'taylor,chris', 'karsner,josh', 'wesley,tyler', 'ellis,bryon']","['gamble,landon', 'raridon,derek', 'tiknis,aaron', 'kmiec,vince', 'rourke,pat']",
8,0753,North Central,Centre,0,50-66,"28,38","21,29",25-3,21-6,N/A,N/A,03/02/13,7 p.m.,N/A,"Naperville, Ill. (Gregory Arena)",Win,2,False,1850,False,18:48,,2 ,,0,"TURNOVER  by TIKNIS,AARON",,,"TURNOVER  by TIKNIS,AARON",1,turnover,,north central,"tiknis,aaron",,"['scinta,blake', 'taylor,chris', 'karsner,josh', 'wesley,tyler', 'ellis,bryon']","['gamble,landon', 'raridon,derek', 'tiknis,aaron', 'kmiec,vince', 'rourke,pat']",1128
9,0753,North Central,Centre,0,50-66,"28,38","21,29",25-3,21-6,N/A,N/A,03/02/13,7 p.m.,N/A,"Naperville, Ill. (Gregory Arena)",Win,2,False,1850,False,18:27,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",4 ,,0,,CENTRE_M 4-0 (+4),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",1,jumper,good,centre,"scinta,blake",2,"['scinta,blake', 'taylor,chris', 'karsner,josh', 'wesley,tyler', 'ellis,bryon']","['gamble,landon', 'raridon,derek', 'tiknis,aaron', 'kmiec,vince', 'rourke,pat']",1107
