game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,19:35,,0,3,"GOOD 3PTR by BORN,CLAY",3,1,,,0,0,,,3ptr,good,1,1,1.0,1.0,39,2375
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,19:19,"TURNOVER  by GARDNER,ROBERT",0,3,,3,1,,,0,0,,,,,1,1,1.0,1.0,39,2359
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,18:54,,0,3,"TURNOVER  by STONE,BRODY",3,1,,,0,0,,,,,1,1,1.0,1.0,38,2334
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,18:39,"GOOD 3PTR by GARDNER,ROBERT",3,3,,0,1,3ptr,good,1,1,1.0,1.0,,,1,1,1.0,1.0,38,2319
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,18:39,"ASSIST  by GAGEN,BRENNAN",3,3,,0,1,,,1,1,1.0,1.0,,,1,1,1.0,1.0,38,2319
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,18:24,"FOUL  by GARDNER,ROBERT",3,3,,0,1,foul,,1,1,1.0,1.0,,,1,1,1.0,1.0,38,2304
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,18:24,,3,4,"GOOD FT by WILLIAMS,JORDEN",1,1,,,1,1,1.0,1.0,ft,good,2,1,1.0,1.0,38,2304
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,18:24,,3,5,"GOOD FT by WILLIAMS,JORDEN",2,1,,,1,1,1.0,1.0,ft,good,3,1,1.0,1.0,38,2304
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,18:24,,3,6,"GOOD FT by WILLIAMS,JORDEN",3,1,,,1,1,1.0,1.0,ft,good,4,1,1.0,1.0,38,2304
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,18:05,"GOOD JUMPER by TULLOS,ZACHARY",5,6,,1,1,jumper,good,2,1,1.0,1.0,,,4,1,1.0,1.0,38,2285
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,18:05,"ASSIST  by GAGEN,BRENNAN",5,6,,1,1,,,2,1,1.0,1.0,,,4,1,1.0,1.0,38,2285
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,17:44,,5,6,"MISS 3PTR by BORN,CLAY",1,1,,,2,1,1.0,1.0,3ptr,miss,5,2,0.8,0.5,37,2264
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,17:44,"REBOUND DEF by GAGEN,BRENNAN",5,6,,1,1,,,2,1,1.0,1.0,,,5,2,0.8,0.5,37,2264
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,17:32,"MISS 3PTR by KOHNKE,SAM",5,6,,1,1,3ptr,miss,3,2,0.667,0.5,,,5,2,0.8,0.5,37,2252
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,17:32,,5,6,REBOUND DEF by TEAM,1,1,,,3,2,0.667,0.5,,,5,2,0.8,0.5,37,2252
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,17:06,,5,6,"MISS LAYUP by THOMAS,ADRIAN",1,1,,,3,2,0.667,0.5,layup,miss,6,2,0.667,0.5,37,2226
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,17:06,"REBOUND DEF by BLANZ,BUCK",5,6,,1,1,,,3,2,0.667,0.5,,,6,2,0.667,0.5,37,2226
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:59,"MISS 3PTR by GARDNER,ROBERT",5,6,,1,1,3ptr,miss,4,3,0.5,0.333,,,6,2,0.667,0.5,36,2219
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:59,"REBOUND OFF by KOHNKE,SAM",5,6,,1,1,,,4,3,0.5,0.333,,,6,2,0.667,0.5,36,2219
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:49,"MISS JUMPER by BLANZ,BUCK",5,6,,1,1,jumper,miss,5,3,0.4,0.333,,,6,2,0.667,0.5,36,2209
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:49,,5,6,"REBOUND DEF by THOMAS,ADRIAN",1,1,,,5,3,0.4,0.333,,,6,2,0.667,0.5,36,2209
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:38,,5,8,"GOOD JUMPER by WILLIAMS,JORDEN",3,1,,,5,3,0.4,0.333,jumper,good,7,2,0.714,0.5,36,2198
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:38,"FOUL  by GARDNER,ROBERT",5,8,,3,1,foul,,5,3,0.4,0.333,,,7,2,0.714,0.5,36,2198
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:38,,5,9,"GOOD FT by WILLIAMS,JORDEN",4,1,,,5,3,0.4,0.333,ft,good,8,2,0.75,0.5,36,2198
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:38,"SUB IN by BECKER,SAXTON",5,9,,4,1,,,5,3,0.4,0.333,,,8,2,0.75,0.5,36,2198
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:38,"SUB IN by TURNER,JAMES",5,9,,4,1,,,5,3,0.4,0.333,,,8,2,0.75,0.5,36,2198
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:38,"SUB OUT by TULLOS,ZACHARY",5,9,,4,1,,,5,3,0.4,0.333,,,8,2,0.75,0.5,36,2198
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:38,"SUB OUT by GARDNER,ROBERT",5,9,,4,1,,,5,3,0.4,0.333,,,8,2,0.75,0.5,36,2198
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:38,,5,9,"SUB IN by BUESCHER,HUNTER",4,1,,,5,3,0.4,0.333,,,8,2,0.75,0.5,36,2198
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:38,,5,9,"SUB OUT by THOMAS,ADRIAN",4,1,,,5,3,0.4,0.333,,,8,2,0.75,0.5,36,2198
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,16:15,"GOOD JUMPER by BLANZ,BUCK(in the paint)",7,9,,2,1,jumper,good,6,3,0.5,0.333,,,8,2,0.75,0.5,36,2175
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:59,,7,9,"MISS 3PTR by WILLIAMS,JORDEN",2,1,,,6,3,0.5,0.333,3ptr,miss,9,3,0.667,0.333,35,2159
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:59,,7,9,"REBOUND OFF by STONE,BRODY",2,1,,,6,3,0.5,0.333,,,9,3,0.667,0.333,35,2159
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:41,,7,9,"MISS LAYUP by STONE,BRODY",2,1,,,6,3,0.5,0.333,layup,miss,10,3,0.6,0.333,35,2141
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:41,"BLOCK  by GAGEN,BRENNAN",7,9,,2,1,,,6,3,0.5,0.333,,,10,3,0.6,0.333,35,2141
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:41,,7,9,REBOUND OFF by TEAM,2,1,,,6,3,0.5,0.333,,,10,3,0.6,0.333,35,2141
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:41,,7,9,TIMEOUT TEAM by TEAM,2,1,,,6,3,0.5,0.333,,,10,3,0.6,0.333,35,2141
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:41,,7,9,"SUB IN by CALDWELL,CAM",2,1,,,6,3,0.5,0.333,,,10,3,0.6,0.333,35,2141
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:41,,7,9,"SUB OUT by BORN,LEO",2,1,,,6,3,0.5,0.333,,,10,3,0.6,0.333,35,2141
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:29,,7,9,"MISS 3PTR by BORN,CLAY",2,1,,,6,3,0.5,0.333,3ptr,miss,11,4,0.545,0.25,35,2129
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:29,"REBOUND DEF by KOHNKE,SAM",7,9,,2,1,,,6,3,0.5,0.333,,,11,4,0.545,0.25,35,2129
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:28,,7,9,"FOUL  by STONE,BRODY",2,1,,,6,3,0.5,0.333,foul,,11,4,0.545,0.25,35,2128
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:14,"MISS 3PTR by BECKER,SAXTON",7,9,,2,1,3ptr,miss,7,4,0.429,0.25,,,11,4,0.545,0.25,35,2114
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:14,,7,9,"REBOUND DEF by BORN,CLAY",2,1,,,7,4,0.429,0.25,,,11,4,0.545,0.25,35,2114
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:04,,7,9,"MISS JUMPER by STONE,BRODY",2,1,,,7,4,0.429,0.25,jumper,miss,12,4,0.5,0.25,35,2104
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,15:04,"REBOUND DEF by KOHNKE,SAM",7,9,,2,1,,,7,4,0.429,0.25,,,12,4,0.5,0.25,35,2104
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,14:54,"MISS 3PTR by BLANZ,BUCK",7,9,,2,1,3ptr,miss,8,5,0.375,0.2,,,12,4,0.5,0.25,34,2094
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,14:54,,7,9,"REBOUND DEF by CALDWELL,CAM",2,1,,,8,5,0.375,0.2,,,12,4,0.5,0.25,34,2094
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,14:29,,7,9,"MISS 3PTR by BUESCHER,HUNTER",2,1,,,8,5,0.375,0.2,3ptr,miss,13,5,0.462,0.2,34,2069
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,14:29,"REBOUND DEF by BECKER,SAXTON",7,9,,2,1,,,8,5,0.375,0.2,,,13,5,0.462,0.2,34,2069
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,14:13,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",9,9,,0,1,layup,good,9,5,0.444,0.2,,,13,5,0.462,0.2,34,2053
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,13:43,,9,11,"GOOD JUMPER by WILLIAMS,JORDEN(in the paint)",2,1,,,9,5,0.444,0.2,jumper,good,14,5,0.5,0.2,33,2023
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,13:21,"GOOD 3PTR by GAGEN,BRENNAN",12,11,,-1,1,3ptr,good,10,6,0.5,0.333,,,14,5,0.5,0.2,33,2001
19,Millsaps,Sewanee,50-62,50,62,"4-15, 1-7","12-6, 5-3",01/27/17,Win,658,No Location Recorded,8:00 PM,13:21,"ASSIST  by BLANZ,BUCK",12,11,,-1,1,,,10,6,0.5,0.333,,,14,5,0.5,0.2,33,2001
