Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:44,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",1
19:38,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
19:01,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",1
18:25,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
18:21,"FOUL  by GALOW,ANDREW",,,,,,,"FOUL  by GALOW,ANDREW",1
18:08,,0,,2 (+2),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 0-2 (+2),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
17:51,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2,,2,,RHODES 2-2 (0),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
17:26,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",1
16:56,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
16:38,,2,,4 (+2),"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEWANEE 2-4 (+2),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
16:22,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
