,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,19:36,"TURNOVER  by SELF,BRANDON",,,,,,,"TURNOVER  by SELF,BRANDON",1,turnover,,emory & henry,"self,brandon",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1176
1,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,19:36,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1,steal,,rhodes,,,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1176
2,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,19:07,,,,,"TURNOVER  by WEIR,JJ",,,"TURNOVER  by WEIR,JJ",1,turnover,,rhodes,"weir,jj",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1147
3,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,19:07,"STEAL  by GRAVLEY,RYAN",,,,,,,"STEAL  by GRAVLEY,RYAN",1,steal,,emory & henry,,,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1147
4,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,19:02,"GOOD LAYUP by FERGUSON,AARON(in the paint)",2 ,,0,,E&H 2-0 (-2),,"GOOD LAYUP by FERGUSON,AARON(in the paint)",1,layup,good,emory & henry,"ferguson,aaron",2,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1142
5,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,--,"ASSIST  by GRAVLEY,RYAN",2 ,,0,,,,"ASSIST  by GRAVLEY,RYAN",1,assist,,emory & henry,"gravley,ryan",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",
6,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,19:02,,2 ,,0,"FOUL  by GALVIN,DANIEL",,,"FOUL  by GALVIN,DANIEL",1,foul,,rhodes,"galvin,daniel",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1142
7,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,19:02,"GOOD FT by FERGUSON,AARON",3 ,,0,,E&H 3-0 (-3),,"GOOD FT by FERGUSON,AARON",1,free throw,good,emory & henry,"ferguson,aaron",1,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1142
8,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,18:48,,3 ,,0,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",1,layup,missed,rhodes,"sullivan,brennan",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1128
9,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,--,"REBOUND DEF by SELF,BRANDON",3 ,,0,,,,"REBOUND DEF by SELF,BRANDON",1,defensive rebound,,emory & henry,"self,brandon",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",
10,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,18:40,,3 ,,0,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1,foul,,rhodes,"gee,tyler",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1120
11,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,18:32,"MISS JUMPER by SHELOR,JOHN",3 ,,0,,,,"MISS JUMPER by SHELOR,JOHN",1,jumper,missed,emory & henry,"shelor,john",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1112
12,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,--,,3 ,,0,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",1,defensive rebound,,rhodes,"weir,jj",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",
13,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,18:18,"FOUL  by FERGUSON,AARON",3 ,,0,,,,"FOUL  by FERGUSON,AARON",1,foul,,emory & henry,"ferguson,aaron",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1098
14,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,18:16,,3 ,,2,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 3-2 (-1),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1,layup,good,rhodes,"galvin,daniel",2,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1096
15,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,--,,3 ,,2,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1,assist,,rhodes,"weir,jj",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",
16,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:56,"GOOD DUNK by SELF,BRANDON(in the paint)",5 ,,2,,E&H 5-2 (-3),,"GOOD DUNK by SELF,BRANDON(in the paint)",1,dunk,good,emory & henry,,2,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1076
17,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,--,"ASSIST  by SHELOR,JOHN",5 ,,2,,,,"ASSIST  by SHELOR,JOHN",1,assist,,emory & henry,"shelor,john",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",
18,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:36,,5 ,,2,"MISS JUMPER by BUTTS,KEYSHAWN",,,"MISS JUMPER by BUTTS,KEYSHAWN",1,jumper,missed,rhodes,"butts,keyshawn",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1056
19,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,--,"REBOUND DEF by FERGUSON,AARON",5 ,,2,,,,"REBOUND DEF by FERGUSON,AARON",1,defensive rebound,,emory & henry,"ferguson,aaron",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",
20,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:30,"GOOD 3PTR by SHELOR,JOHN",8 ,,2,,E&H 8-2 (-6),,"GOOD 3PTR by SHELOR,JOHN",1,three pointer,good,emory & henry,"shelor,john",3,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1050
21,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,--,"ASSIST  by TURNER,MYLES",8 ,,2,,,,"ASSIST  by TURNER,MYLES",1,assist,,emory & henry,"turner,myles",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",
22,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:17,,8 ,,2,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1,turnover,,rhodes,"sullivan,brennan",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1037
23,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:16,"STEAL  by GRAVLEY,RYAN",8 ,,2,,,,"STEAL  by GRAVLEY,RYAN",1,steal,,emory & henry,,,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1036
24,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:09,"TURNOVER  by TURNER,MYLES",8 ,,2,,,,"TURNOVER  by TURNER,MYLES",1,turnover,,emory & henry,"turner,myles",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1029
25,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:09,,8 ,,2,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1,steal,,rhodes,,,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1029
26,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:09,"FOUL  by TURNER,MYLES",8 ,,2,,,,"FOUL  by TURNER,MYLES",1,foul,,emory & henry,"turner,myles",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1029
27,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:05,"FOUL  by TURNER,MYLES",8 ,,2,,,,"FOUL  by TURNER,MYLES",1,foul,,emory & henry,"turner,myles",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1025
28,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:02,"FOUL  by SELF,BRANDON",8 ,,2,,,,"FOUL  by SELF,BRANDON",1,foul,,emory & henry,"self,brandon",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1022
29,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:02,,8 ,,3,"GOOD FT by GALVIN,DANIEL",RHO 8-3 (-5),,"GOOD FT by GALVIN,DANIEL",1,free throw,good,rhodes,"galvin,daniel",1,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1022
30,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:02,"SUB IN by MCLEAN,JOHNNY",8 ,,3,,,,"SUB IN by MCLEAN,JOHNNY",1,subbing in,,emory & henry,"mclean,johnny",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'turner,myles', 'self,brandon', 'mclean,johnny']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1022
31,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:02,"SUB OUT by TURNER,MYLES",8 ,,3,,,,"SUB OUT by TURNER,MYLES",1,subbing out,,emory & henry,"turner,myles",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'self,brandon', 'mclean,johnny']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1022
32,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,17:02,,8 ,,4,"GOOD FT by GALVIN,DANIEL",RHO 8-4 (-4),,"GOOD FT by GALVIN,DANIEL",1,free throw,good,rhodes,"galvin,daniel",1,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'self,brandon', 'mclean,johnny']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1022
33,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,16:40,"TURNOVER  by FERGUSON,AARON",8 ,,4,,,,"TURNOVER  by FERGUSON,AARON",1,turnover,,emory & henry,"ferguson,aaron",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'self,brandon', 'mclean,johnny']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",1000
34,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,16:39,,8 ,,4,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1,steal,,rhodes,,,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'self,brandon', 'mclean,johnny']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",999
35,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,16:23,,8 ,,4,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",1,turnover,,rhodes,"galvin,daniel",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'self,brandon', 'mclean,johnny']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",983
36,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,16:23,"STEAL  by SHELOR,JOHN",8 ,,4,,,,"STEAL  by SHELOR,JOHN",1,steal,,emory & henry,,,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'self,brandon', 'mclean,johnny']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",983
37,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,16:20,"GOOD LAYUP by SHELOR,JOHN(fastbreak)(in the paint)",10 ,,4,,E&H 10-4 (-6),,"GOOD LAYUP by SHELOR,JOHN(fastbreak)(in the paint)",1,layup,good,emory & henry,"shelor,john(fastbreak)",2,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'self,brandon', 'mclean,johnny']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",980
38,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,16:13,,10 ,,4,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1,timeout,,rhodes,,,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'self,brandon', 'mclean,johnny']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",973
39,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,16:13,"SUB IN by CONLEY,CLIF",10 ,,4,,,,"SUB IN by CONLEY,CLIF",1,subbing in,,emory & henry,"conley,clif",,"['shelor,john', 'ferguson,aaron', 'gravley,ryan', 'self,brandon', 'mclean,johnny', 'conley,clif']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",973
40,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,16:13,"SUB OUT by GRAVLEY,RYAN",10 ,,4,,,,"SUB OUT by GRAVLEY,RYAN",1,subbing out,,emory & henry,"gravley,ryan",,"['shelor,john', 'ferguson,aaron', 'self,brandon', 'mclean,johnny', 'conley,clif']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",973
41,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,15:51,,10 ,,4,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1,turnover,,rhodes,"sullivan,brennan",,"['shelor,john', 'ferguson,aaron', 'self,brandon', 'mclean,johnny', 'conley,clif']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",951
42,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,15:51,"STEAL  by SHELOR,JOHN",10 ,,4,,,,"STEAL  by SHELOR,JOHN",1,steal,,emory & henry,,,"['shelor,john', 'ferguson,aaron', 'self,brandon', 'mclean,johnny', 'conley,clif']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",951
43,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,15:47,"MISS LAYUP by SHELOR,JOHN",10 ,,4,,,,"MISS LAYUP by SHELOR,JOHN",1,layup,missed,emory & henry,"shelor,john",,"['shelor,john', 'ferguson,aaron', 'self,brandon', 'mclean,johnny', 'conley,clif']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",947
44,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,--,,10 ,,4,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1,defensive rebound,,rhodes,"gee,tyler",,"['shelor,john', 'ferguson,aaron', 'self,brandon', 'mclean,johnny', 'conley,clif']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",
45,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,15:39,,10 ,,4,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1,foul,,rhodes,"butts,keyshawn",,"['shelor,john', 'ferguson,aaron', 'self,brandon', 'mclean,johnny', 'conley,clif']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",939
46,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,15:39,,10 ,,4,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1,turnover,,rhodes,"butts,keyshawn",,"['shelor,john', 'ferguson,aaron', 'self,brandon', 'mclean,johnny', 'conley,clif']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",939
47,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,15:22,"GOOD LAYUP by FERGUSON,AARON(in the paint)",12 ,,4,,E&H 12-4 (-8),,"GOOD LAYUP by FERGUSON,AARON(in the paint)",1,layup,good,emory & henry,"ferguson,aaron",2,"['shelor,john', 'ferguson,aaron', 'self,brandon', 'mclean,johnny', 'conley,clif']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",922
48,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,--,"ASSIST  by MCLEAN,JOHNNY",12 ,,4,,,,"ASSIST  by MCLEAN,JOHNNY",1,assist,,emory & henry,"mclean,johnny",,"['shelor,john', 'ferguson,aaron', 'self,brandon', 'mclean,johnny', 'conley,clif']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",
49,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,14:50,,12 ,,4,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1,turnover,,rhodes,,,"['shelor,john', 'ferguson,aaron', 'self,brandon', 'mclean,johnny', 'conley,clif']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",890
50,4088,Rhodes,Emory & Henry,0,78-68,"32,36","40,38",5-5,6-5,N/A,N/A,12/30/15,4:51 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,102,False,14:39,"GOOD JUMPER by CONLEY,CLIF",14 ,,4,,E&H 14-4 (-10),,"GOOD JUMPER by CONLEY,CLIF",1,jumper,good,emory & henry,"conley,clif",2,"['shelor,john', 'ferguson,aaron', 'self,brandon', 'mclean,johnny', 'conley,clif']","['sullivan,brennan', 'galvin,daniel', 'gee,tyler', 'butts,keyshawn', 'weir,jj']",879
