,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0864,Rhodes,Berry,1,102-114,"59,55","54,48",7-6; 1-1 SAA,5-8; 0-2 SAA,N/A,N/A,01/05/18,8:00 PM,N/A,"Memphis, Tenn.",Win,2,False,127,False,19:56,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",1,layup,missed,berry,"atkinson,quinn",,"['johnson,caleb', 'hirsh,elijah', 'atkinson,quinn', 'mccloud,alton', 'marder,nick']","['berry,bryce', 'darst,daniel', 'love,kerry', 'ashby,kendrick', 'de,nick']",1196
1,0864,Rhodes,Berry,1,102-114,"59,55","54,48",7-6; 1-1 SAA,5-8; 0-2 SAA,N/A,N/A,01/05/18,8:00 PM,N/A,"Memphis, Tenn.",Win,2,False,127,False,--,"REBOUND OFF by MARDER,NICK",,,,,,,"REBOUND OFF by MARDER,NICK",1,offensive rebound,,berry,"marder,nick",,"['johnson,caleb', 'hirsh,elijah', 'atkinson,quinn', 'mccloud,alton', 'marder,nick']","['berry,bryce', 'darst,daniel', 'love,kerry', 'ashby,kendrick', 'de,nick']",
2,0864,Rhodes,Berry,1,102-114,"59,55","54,48",7-6; 1-1 SAA,5-8; 0-2 SAA,N/A,N/A,01/05/18,8:00 PM,N/A,"Memphis, Tenn.",Win,2,False,127,False,19:52,"GOOD LAYUP by MARDER,NICK(in the paint)",2 ,,0,,BCM 2-0 (+2),,"GOOD LAYUP by MARDER,NICK(in the paint)",1,layup,good,berry,"marder,nick",2,"['johnson,caleb', 'hirsh,elijah', 'atkinson,quinn', 'mccloud,alton', 'marder,nick']","['berry,bryce', 'darst,daniel', 'love,kerry', 'ashby,kendrick', 'de,nick']",1192
3,0864,Rhodes,Berry,1,102-114,"59,55","54,48",7-6; 1-1 SAA,5-8; 0-2 SAA,N/A,N/A,01/05/18,8:00 PM,N/A,"Memphis, Tenn.",Win,2,False,127,False,19:31,,2 ,,0,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",1,layup,missed,rhodes,"darst,daniel",,"['johnson,caleb', 'hirsh,elijah', 'atkinson,quinn', 'mccloud,alton', 'marder,nick']","['berry,bryce', 'darst,daniel', 'love,kerry', 'ashby,kendrick', 'de,nick']",1171
4,0864,Rhodes,Berry,1,102-114,"59,55","54,48",7-6; 1-1 SAA,5-8; 0-2 SAA,N/A,N/A,01/05/18,8:00 PM,N/A,"Memphis, Tenn.",Win,2,False,127,False,--,"REBOUND DEF by ATKINSON,QUINN",2 ,,0,,,,"REBOUND DEF by ATKINSON,QUINN",1,defensive rebound,,berry,"atkinson,quinn",,"['johnson,caleb', 'hirsh,elijah', 'atkinson,quinn', 'mccloud,alton', 'marder,nick']","['berry,bryce', 'darst,daniel', 'love,kerry', 'ashby,kendrick', 'de,nick']",
5,0864,Rhodes,Berry,1,102-114,"59,55","54,48",7-6; 1-1 SAA,5-8; 0-2 SAA,N/A,N/A,01/05/18,8:00 PM,N/A,"Memphis, Tenn.",Win,2,False,127,False,19:18,,2 ,,0,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1,foul,,rhodes,"darst,daniel",,"['johnson,caleb', 'hirsh,elijah', 'atkinson,quinn', 'mccloud,alton', 'marder,nick']","['berry,bryce', 'darst,daniel', 'love,kerry', 'ashby,kendrick', 'de,nick']",1158
6,0864,Rhodes,Berry,1,102-114,"59,55","54,48",7-6; 1-1 SAA,5-8; 0-2 SAA,N/A,N/A,01/05/18,8:00 PM,N/A,"Memphis, Tenn.",Win,2,False,127,False,19:18,"GOOD FT by JOHNSON,CALEB",3 ,,0,,BCM 3-0 (+3),,"GOOD FT by JOHNSON,CALEB",1,free throw,good,berry,"johnson,caleb",1,"['johnson,caleb', 'hirsh,elijah', 'atkinson,quinn', 'mccloud,alton', 'marder,nick']","['berry,bryce', 'darst,daniel', 'love,kerry', 'ashby,kendrick', 'de,nick']",1158
7,0864,Rhodes,Berry,1,102-114,"59,55","54,48",7-6; 1-1 SAA,5-8; 0-2 SAA,N/A,N/A,01/05/18,8:00 PM,N/A,"Memphis, Tenn.",Win,2,False,127,False,19:18,"GOOD FT by JOHNSON,CALEB",4 ,,0,,BCM 4-0 (+4),,"GOOD FT by JOHNSON,CALEB",1,free throw,good,berry,"johnson,caleb",1,"['johnson,caleb', 'hirsh,elijah', 'atkinson,quinn', 'mccloud,alton', 'marder,nick']","['berry,bryce', 'darst,daniel', 'love,kerry', 'ashby,kendrick', 'de,nick']",1158
8,0864,Rhodes,Berry,1,102-114,"59,55","54,48",7-6; 1-1 SAA,5-8; 0-2 SAA,N/A,N/A,01/05/18,8:00 PM,N/A,"Memphis, Tenn.",Win,2,False,127,False,19:18,,4 ,,0,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1,subbing in,,rhodes,"galvin,owen",,"['johnson,caleb', 'hirsh,elijah', 'atkinson,quinn', 'mccloud,alton', 'marder,nick']","['berry,bryce', 'darst,daniel', 'love,kerry', 'ashby,kendrick', 'de,nick', 'galvin,owen']",1158
9,0864,Rhodes,Berry,1,102-114,"59,55","54,48",7-6; 1-1 SAA,5-8; 0-2 SAA,N/A,N/A,01/05/18,8:00 PM,N/A,"Memphis, Tenn.",Win,2,False,127,False,19:18,,4 ,,0,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1,subbing in,,rhodes,"mcintyre,william",,"['johnson,caleb', 'hirsh,elijah', 'atkinson,quinn', 'mccloud,alton', 'marder,nick']","['berry,bryce', 'darst,daniel', 'love,kerry', 'ashby,kendrick', 'de,nick', 'galvin,owen', 'mcintyre,william']",1158
