,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0762,Hope,Centre,0,68-75,"36,39","39,29",3-5,6-2,N/A,N/A,12/30/13,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,563,False,19:46,,0,,3 ,"GOOD 3PTR by EIDSON,ALEX",HOPEMBB 0-3 (-3),,"GOOD 3PTR by EIDSON,ALEX",1,three pointer,good,hope,"eidson,alex",3,"['whiteside,donovan', 'lopez,collin', 'scinta,blake', 'wesley,tyler', 'steggeman,andrew']","['gardner,ben', 'eidson,alex', 'vanarendonk,nate', 'byers,caleb', 'neil,grant']",1186
1,0762,Hope,Centre,0,68-75,"36,39","39,29",3-5,6-2,N/A,N/A,12/30/13,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,563,False,--,,0,,3 ,"ASSIST  by NEIL,GRANT",,,"ASSIST  by NEIL,GRANT",1,assist,,hope,"neil,grant",,"['whiteside,donovan', 'lopez,collin', 'scinta,blake', 'wesley,tyler', 'steggeman,andrew']","['gardner,ben', 'eidson,alex', 'vanarendonk,nate', 'byers,caleb', 'neil,grant']",
2,0762,Hope,Centre,0,68-75,"36,39","39,29",3-5,6-2,N/A,N/A,12/30/13,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,563,False,19:12,"MISS 3PTR by WHITESIDE,DONOVAN",0,,3 ,,,,"MISS 3PTR by WHITESIDE,DONOVAN",1,three pointer,missed,centre,"whiteside,donovan",,"['whiteside,donovan', 'lopez,collin', 'scinta,blake', 'wesley,tyler', 'steggeman,andrew']","['gardner,ben', 'eidson,alex', 'vanarendonk,nate', 'byers,caleb', 'neil,grant']",1152
3,0762,Hope,Centre,0,68-75,"36,39","39,29",3-5,6-2,N/A,N/A,12/30/13,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,563,False,--,,0,,3 ,"REBOUND DEF by VANARENDONK,NATE",,,"REBOUND DEF by VANARENDONK,NATE",1,defensive rebound,,hope,"vanarendonk,nate",,"['whiteside,donovan', 'lopez,collin', 'scinta,blake', 'wesley,tyler', 'steggeman,andrew']","['gardner,ben', 'eidson,alex', 'vanarendonk,nate', 'byers,caleb', 'neil,grant']",
4,0762,Hope,Centre,0,68-75,"36,39","39,29",3-5,6-2,N/A,N/A,12/30/13,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,563,False,18:58,,0,,3 ,"TURNOVER  by NEIL,GRANT",,,"TURNOVER  by NEIL,GRANT",1,turnover,,hope,"neil,grant",,"['whiteside,donovan', 'lopez,collin', 'scinta,blake', 'wesley,tyler', 'steggeman,andrew']","['gardner,ben', 'eidson,alex', 'vanarendonk,nate', 'byers,caleb', 'neil,grant']",1138
5,0762,Hope,Centre,0,68-75,"36,39","39,29",3-5,6-2,N/A,N/A,12/30/13,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,563,False,18:56,"STEAL  by LOPEZ,COLLIN",0,,3 ,,,,"STEAL  by LOPEZ,COLLIN",1,steal,,centre,,,"['whiteside,donovan', 'lopez,collin', 'scinta,blake', 'wesley,tyler', 'steggeman,andrew']","['gardner,ben', 'eidson,alex', 'vanarendonk,nate', 'byers,caleb', 'neil,grant']",1136
6,0762,Hope,Centre,0,68-75,"36,39","39,29",3-5,6-2,N/A,N/A,12/30/13,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,563,False,18:54,"MISS LAYUP by LOPEZ,COLLIN",0,,3 ,,,,"MISS LAYUP by LOPEZ,COLLIN",1,layup,missed,centre,"lopez,collin",,"['whiteside,donovan', 'lopez,collin', 'scinta,blake', 'wesley,tyler', 'steggeman,andrew']","['gardner,ben', 'eidson,alex', 'vanarendonk,nate', 'byers,caleb', 'neil,grant']",1134
7,0762,Hope,Centre,0,68-75,"36,39","39,29",3-5,6-2,N/A,N/A,12/30/13,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,563,False,--,"REBOUND OFF by SCINTA,BLAKE",0,,3 ,,,,"REBOUND OFF by SCINTA,BLAKE",1,offensive rebound,,centre,"scinta,blake",,"['whiteside,donovan', 'lopez,collin', 'scinta,blake', 'wesley,tyler', 'steggeman,andrew']","['gardner,ben', 'eidson,alex', 'vanarendonk,nate', 'byers,caleb', 'neil,grant']",
8,0762,Hope,Centre,0,68-75,"36,39","39,29",3-5,6-2,N/A,N/A,12/30/13,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,563,False,18:52,"MISS LAYUP by SCINTA,BLAKE",0,,3 ,,,,"MISS LAYUP by SCINTA,BLAKE",1,layup,missed,centre,"scinta,blake",,"['whiteside,donovan', 'lopez,collin', 'scinta,blake', 'wesley,tyler', 'steggeman,andrew']","['gardner,ben', 'eidson,alex', 'vanarendonk,nate', 'byers,caleb', 'neil,grant']",1132
9,0762,Hope,Centre,0,68-75,"36,39","39,29",3-5,6-2,N/A,N/A,12/30/13,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,563,False,18:52,,0,,3 ,"BLOCK  by VANARENDONK,NATE",,,"BLOCK  by VANARENDONK,NATE",1,block,,hope,"vanarendonk,nate",,"['whiteside,donovan', 'lopez,collin', 'scinta,blake', 'wesley,tyler', 'steggeman,andrew']","['gardner,ben', 'eidson,alex', 'vanarendonk,nate', 'byers,caleb', 'neil,grant']",1132
10,0762,Hope,Centre,0,68-75,"36,39","39,29",3-5,6-2,N/A,N/A,12/30/13,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,563,False,--,REBOUND OFF by TEAM,0,,3 ,,,,REBOUND OFF by TEAM,1,offensive rebound,,centre,,,"['whiteside,donovan', 'lopez,collin', 'scinta,blake', 'wesley,tyler', 'steggeman,andrew']","['gardner,ben', 'eidson,alex', 'vanarendonk,nate', 'byers,caleb', 'neil,grant']",
11,0762,Hope,Centre,0,68-75,"36,39","39,29",3-5,6-2,N/A,N/A,12/30/13,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,563,False,18:50,"GOOD 3PTR by LOPEZ,COLLIN",3,,3,,CENTRE_M 3-3 (0),,"GOOD 3PTR by LOPEZ,COLLIN",1,three pointer,good,centre,"lopez,collin",3,"['whiteside,donovan', 'lopez,collin', 'scinta,blake', 'wesley,tyler', 'steggeman,andrew']","['gardner,ben', 'eidson,alex', 'vanarendonk,nate', 'byers,caleb', 'neil,grant']",1130
